"image_name","date","scanner","Predicted.class","x","y","ID","distance_root_growth_obs","distance_root_mature_obs","distance_root_growth_mean_exp","distance_root_growth_sd_exp","distance_root_mature_mean_exp","distance_root_mature_sd_exp"
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","gastropoda",9638.5,6809,1,1426.12341308594,1436.30224609375,2176.26975952148,1037.95087238345,2100.81345409393,1401.71706078823
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","unknown",1970.5,13631.5,2,1083.43615722656,3479.24169921875,2034.31991394043,1018.43109512283,2339.80354919434,1452.5885149723
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","gastropoda",3581.5,8832,3,1452.45788574219,3274.86865234375,2239.84217712402,1332.26160960444,2201.00324066162,1534.2155273693
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","collembola",1659.5,13110,4,788.576538085938,3819.40161132812,2276.4451751709,1264.95740252275,2273.6659967041,1472.73838112611
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","unknown",7246,5818.5,5,90.0888442993164,642.066955566406,1772.76427597046,1228.63852032153,2182.75403686523,1437.83128275628
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","collembola",2522.5,12285,6,1941.25964355469,3200.96508789062,1962.57717712402,1114.65494502963,1760.87172119141,1029.25244381724
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","unknown",2984,2578,7,819.908508300781,160.723358154297,2234.28937652588,1472.63461838073,2935.64245330811,1663.864924661
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","gastropoda",1554.5,7033,8,1388.66589355469,4812.0234375,1963.60937591553,1041.88986829096,2121.43014221191,1193.05293179149
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","gastropoda",4969.5,5615.5,9,1231.24365234375,2927.85302734375,2085.58456817627,1577.58293910437,2384.06242095947,1589.35035722414
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","enchytraeidae",9006.5,12307,10,5812.29638671875,1062.46179199219,2206.26752441406,1409.43462251406,2361.73918567657,1506.05241567766
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","julida",664,6037,11,2467.76928710938,4266.8125,2102.1373638916,1376.96930837496,2338.42639221191,1410.85398005591
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","gastropoda",7047.5,13569.5,12,4764.904296875,1095.53637695312,2047.50800369263,1318.83891225454,2178.79637268066,1465.54871498348
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","collembola",7297.5,6500.5,13,225.754287719727,869.78271484375,1942.7915838623,1153.63222719692,2446.90042358398,1561.57980706891
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","unknown",6207,10587.5,14,2684.57080078125,1515.32995605469,2122.80499694824,1346.92004409195,2390.17857208252,1554.65583753211
"AF_A20_E_2024-03-20_00H00M","2024-03-20T00:00:00Z","AF_A20_E","julida",2237,2407,15,112.05802154541,546.923217773438,1960.75501403809,1132.40276703149,2383.78337524414,1452.86856889805
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","gastropoda",6512.5,5213,1,548.150512695312,1519.24719238281,1532.98418266296,736.096798511589,2160.66581665039,1662.28721253633
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","lumbricidae",2839,6954.5,2,103.16007232666,4533.99560546875,1679.87907653809,755.267146230704,2293.33335220337,1576.38551811804
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","julida",2114,2733,3,206.584121704102,792.568603515625,1779.73264282227,840.11527114127,2137.96997741699,1366.21821339915
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","lumbricidae",1075,7388,4,1498.46655273438,5302.5498046875,1576.33461914062,738.710091278836,1940.84624511719,971.121286626238
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","multi_taxa",276.5,2572.5,5,1828.83703613281,2507.86157226562,1385.60972854614,687.511813013987,2227.75367004395,1364.5745622001
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","gastropoda",5673.5,5674.5,6,1311.54760742188,2222.46459960938,1573.88246429443,721.574426261793,1847.65888122559,1371.70069442697
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","enchytraeidae",1583.5,9999,7,1556.60461425781,5200.77587890625,1744.87705581665,826.238372905725,2297.24671569824,1620.21007159263
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","gastropoda",3643,8785.5,8,961.22265625,3218.11010742188,1605.58265289307,665.471431068593,2401.90609741211,1473.70686329006
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","lumbricidae",509.5,366,9,2591.0048828125,2946.92236328125,1559.99931243896,812.41156821131,2096.98761291504,1398.65614719588
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","insecta larva",415,4608.5,10,2723.56372070312,3299.84521484375,1394.42888261795,772.08177630184,2244.11887573242,1226.37245206318
"AF_A20_E_2024-03-20_12H00M","2024-03-20T12:00:00Z","AF_A20_E","collembola",8016.5,2736,11,1149.76953125,1378.42700195312,1340.04320892334,691.456356638697,2143.58436889648,1470.55968954924
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","collembola",3176,13776,1,2310.36474609375,2281.923828125,1370.6051588726,853.889965530323,2366.43546691895,1385.82620828744
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","lumbricidae",9043.5,208.5,2,966.335876464844,1483.25659179688,1700.63567810059,762.459025112772,2824.55177307129,1891.63856415734
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","unknown",4835.5,5755,3,1018.91168212891,3052.70458984375,1707.88987762451,816.192500743435,2831.75990951538,1719.51939061592
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","collembola",7846,2762.5,4,2324.0244140625,1059.60375976562,1641.38746398926,766.619566676895,2640.09522644043,1704.16503994343
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","lumbricidae",9283.5,2553,5,1268.171875,2170.28125,1797.14453887939,857.632532542006,2436.20503601074,1586.47811471643
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","collembola",7147,6239,6,104.235313415527,831.433715820312,1556.56072296143,737.239191946093,2967.46640991211,1497.86446357771
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","gastropoda",4987,513,7,2799.77612304688,1067.79821777344,1427.32942138672,759.066129817061,2674.62686233521,1512.40712639184
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","julida",2307.5,2862,8,371.615386962891,2700.21362304688,1558.50667358398,778.612631026187,2004.29342224121,1328.16549928689
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","lumbricidae",8582,159,9,1289.96118164062,1126.7568359375,1454.89990310669,871.280102087657,2556.46624938965,1701.25056053108
"AF_A20_E_2024-03-21_00H00M","2024-03-21T00:00:00Z","AF_A20_E","collembola",7923,3721,10,1993.24084472656,1940.52600097656,1688.96382507324,787.674987712319,2536.18582305908,1582.64758553495
"AF_A20_E_2024-03-21_12H00M","2024-03-21T12:00:00Z","AF_A20_E","unknown",5538,12193,1,1950.13977050781,1151.17370605469,1534.31305603027,719.529787235936,1842.92337311745,1087.44323459041
"AF_A20_E_2024-03-21_12H00M","2024-03-21T12:00:00Z","AF_A20_E","enchytraeidae",1244,348,2,2232.6171875,2622.13891601562,1647.05824966431,918.202177521119,1612.23817504883,837.712525971542
"AF_A20_E_2024-03-21_12H00M","2024-03-21T12:00:00Z","AF_A20_E","unknown",6962.5,3995.5,3,321.024932861328,2078.64965820312,1694.62652099609,906.243761551533,1772.77188964844,1150.17972744594
"AF_A20_E_2024-03-21_12H00M","2024-03-21T12:00:00Z","AF_A20_E","multi_taxa",266.5,636,4,2551.59399414062,3606.11987304688,1497.53750732422,852.809658516519,1762.04870910645,1049.59764264206
"AF_A20_E_2024-03-21_12H00M","2024-03-21T12:00:00Z","AF_A20_E","enchytraeidae",1313.5,4123.5,5,1795.82763671875,2881.27758789062,1619.31866973877,793.039155804391,1999.14415863037,1148.17431331686
